Entry,Run ,Rate1,Rate2,Rate3,IllevoInjury
1,2,7,7,8,
2,2,7,7,7,
3,2,7,7,8,
4,2,8,8,8,
5,2,8,8,,
6,2,8,8,,
7,2,9,8,8,
8,2,9,9,9,
9,2,10,10,7,
10,2,10,10,8,
11,2,10,10,10,
12,2,8,9,10,
13,2,10,10,,
14,2,10,10,,
15,2,10,10,8,
16,2,8,9,10,
17,2,10,9,9,
18,2,9,9,9,
19,2,9,9,9,
20,2,10,10,10,
21,2,8,9,10,
22,2,10,10,,
23,2,10,10,10,
24,2,9,9,9,
25,2,8,8,9,
26,2,9,9,9,
27,2,9,8,8,
28,2,8,8,9,
29,2,9,9,9,
30,2,9,10,10,
31,2,10,10,10,
32,2,10,10,10,
33,2,9,9,9,
34,2,9,9,9,
35,2,9,9,,
36,2,10,10,,
37,2,9,9,9,
38,2,,,,
39,2,10,10,,
40,2,10,10,,
41,2,9,9,,
42,2,10,9,9,
43,2,10,10,,
44,2,9,10,10,
45,2,9,9,,
46,2,9,9,9,
47,2,9,10,5,
48,2,9,9,10,
49,2,9,9,9,
50,2,9,10,10,
51,2,8,9,9,
52,2,9,8,8,
53,2,10,9,,
54,2,8,9,,
55,2,9,9,10,
56,2,9,9,10,
57,2,9,9,10,
58,2,9,9,,
59,2,,,,
60,2,7,6,8,
61,2,8,,,
62,2,9,9,9,
63,2,8,9,9,
64,2,9,9,,
65,2,10,10,10,
66,2,9,9,9,
67,2,9,7,8,
68,2,8,,,
69,2,9,10,,
70,2,9,10,10,
71,2,9,9,,
72,2,9,9,,
73,2,9,8,,
74,2,8,9,,
75,2,,,,
76,2,8,8,9,
77,2,9,9,9,
78,2,9,9,,
79,2,9,9,9,
80,2,9,9,9,
81,2,7,9,9,
82,2,9,,,
83,2,9,9,9,
84,2,9,9,9,
85,2,8,8,8,
86,2,9,9,8,
87,2,9,9,9,
88,2,9,9,8,
89,2,8,8,8,
90,2,9,9,9,
91,2,1,9,9,
92,2,9,9,9,
93,2,9,9,,
94,2,9,9,9,
95,2,8,9,,
96,2,9,9,,
97,2,9,9,,
98,2,9,9,9,
99,2,9,9,1,
100,2,9,9,,
101,2,10,10,9,
102,2,10,10,9,
103,2,9,7,9,
104,2,5,7,9,
105,2,9,9,,
106,2,9,,,
107,2,8,8,9,
108,2,6,5,7,
109,2,9,,,
110,2,10,9,10,
111,2,9,10,9,
112,2,10,9,,
113,2,7,7,,
114,2,8,,,
115,2,9,9,,
116,2,9,9,,
117,2,9,9,9,
118,2,10,9,10,
119,2,10,10,10,
120,2,9,9,9,
121,2,8,8,5,
122,2,8,8,,
123,2,9,9,,
124,2,8,8,,
125,2,8,8,8,
126,2,8,8,,
127,2,8,,8,
128,2,8,8,,
129,2,7,7,8,
130,2,8,,,
131,2,8,8,,
132,2,8,8,,
133,2,9,9,,
134,2,8,8,9,
135,2,8,,,
136,2,9,9,,
137,2,8,,,
138,2,7,,,
139,2,8,6,,
140,2,9,9,,
141,2,9,9,10,
142,2,9,10,10,
143,2,9,9,,
144,2,7,8,8,
145,2,10,10,10,
146,2,7,7,7,
147,2,8,8,9,
148,2,9,9,,
149,2,9,9,9,
150,2,10,10,10,
151,2,10,10,10,
152,2,9,9,9,
153,2,10,10,9,
154,2,9,9,,
155,2,10,9,8,
156,2,9,8,9,
157,2,9,9,,
158,2,9,9,9,
159,2,9,9,8,
160,2,9,9,,
161,2,8,8,8,
162,2,7,8,8,
163,2,8,7,7,
164,2,8,8,7,
165,2,8,8,7,
166,2,7,7,7,
167,2,8,8,,
168,2,8,9,9,
169,2,8,8,,
170,2,8,8,8,
171,2,7,8,,
172,2,10,10,10,
173,2,9,9,9,
174,2,9,9,9,
175,2,10,10,10,
176,2,6,9,8,
177,2,9,9,9,
178,2,9,9,9,
179,2,10,9,10,
180,2,10,10,10,
181,2,10,10,10,
182,2,10,10,10,
183,2,10,10,10,
184,2,9,10,10,
185,2,10,10,10,
186,2,10,,,
187,2,10,,,
188,2,10,10,10,
189,2,10,10,10,
190,2,10,10,10,
191,2,9,9,10,
192,2,9,8,,
193,2,9,9,,
194,2,9,,,
195,2,6,9,,
196,2,9,9,9,
197,2,,,,
198,2,10,10,10,
199,2,10,10,10,
200,2,10,10,10,
201,2,10,10,10,
202,2,10,10,10,
203,2,10,10,10,
204,2,8,8,9,
205,2,8,8,,
206,2,10,10,10,
207,2,8,,,
208,2,10,10,10,
209,2,10,10,10,
210,2,10,10,10,
211,2,10,10,10,
212,2,8,8,7,
213,2,9,9,9,
214,2,10,10,10,
215,2,10,10,10,
216,2,10,10,10,
217,2,10,10,10,
218,2,10,10,10,
219,2,10,10,10,
220,2,10,10,10,
221,2,10,10,10,
222,2,7,7,8,
223,2,10,10,10,
224,2,9,9,9,
225,2,8,7,7,
226,2,7,8,8,
227,2,10,10,8,
228,2,10,10,10,
229,2,10,10,10,
230,2,10,10,9,
231,2,8,8,8,
232,2,8,8,9,
233,2,8,8,9,
234,2,7,8,8,
235,2,8,8,8,
236,2,8,8,9,
237,2,,8,,
238,2,10,,,
239,2,10,10,10,
240,2,9,10,10,
241,2,10,10,10,
242,2,10,10,,
243,2,10,10,,
244,2,10,9,,
245,2,8,9,9,
246,2,7,7,,
247,2,9,9,,
248,2,9,9,,
249,2,6,9,,
250,2,10,7,,
251,2,9,10,10,
252,2,10,10,10,
253,2,9,8,10,
254,2,9,10,,
255,2,10,10,,
256,2,10,10,10,
257,2,10,10,10,
258,2,10,10,10,
259,2,10,10,9,
260,2,10,10,9,
261,2,10,10,9,
262,2,10,9,9,
263,2,9,9,,
264,2,9,9,9,
265,2,8,9,,
266,2,9,8,8,
267,2,8,8,9,
268,2,8,8,9,
269,2,9,10,10,
270,2,9,9,,
271,2,9,9,9,
272,2,9,9,10,
273,2,9,9,8,
274,2,9,9,8,
275,2,8,8,9,
276,2,6,8,8,
277,2,9,9,9,
278,2,9,9,9,
279,2,9,8,,
280,2,7,9,,
281,2,7,8,,
282,2,6,7,8,
283,2,9,9,9,
284,2,9,9,9,
285,2,9,9,9,
286,2,9,9,8,
287,2,7,8,9,
288,2,8,,,
289,2,8,8,9,
290,2,8,9,9,
291,2,8,9,10,
292,2,10,10,10,
293,2,9,10,10,
294,2,8,,,
295,2,9,8,,
296,2,8,8,,
297,2,7,,,
298,2,8,8,7,
299,2,9,9,9,
300,2,9,9,9,
301,2,9,9,9,
302,2,9,9,9,
303,2,7,8,9,
304,2,9,9,9,
305,2,7,9,,
306,2,9,9,,
307,2,9,9,7,
308,2,9,9,9,
309,2,8,8,9,
310,2,8,8,8,
311,2,8,8,7,
312,2,9,9,9,
313,2,9,9,9,
314,2,9,9,1,
315,2,9,9,9,
316,2,9,9,10,
317,2,9,9,9,
318,2,9,9,7,
319,2,9,9,9,
320,2,9,9,9,
321,2,9,9,9,
322,2,9,9,9,
323,2,,,,
324,2,,,,
325,2,9,9,9,
326,2,9,9,9,
327,2,8,8,,
328,2,9,9,9,
329,2,9,9,9,
330,2,9,9,9,
331,2,9,9,9,
332,2,7,10,,
333,2,9,9,,
334,2,1,9,9,
335,2,9,9,9,
336,2,8,9,9,
337,2,10,10,9,
338,2,9,9,8,
339,2,9,9,9,
340,2,8,,,
341,2,9,9,9,
342,2,8,8,,
343,2,8,,,
344,2,8,8,,
345,2,9,8,8,
346,2,7,8,8,
347,2,8,8,,
348,2,8,8,,
349,2,,,,
350,2,8,,,
351,2,8,8,,
352,2,7,7,8,
353,2,7,8,7,
354,2,6,8,8,
355,2,8,,8,
356,2,8,8,,
357,2,9,,,
358,2,9,9,,
359,2,9,9,,
360,2,8,8,7,
361,2,9,9,8,
362,2,9,9,9,
363,2,8,9,9,
364,2,9,9,9,
365,2,8,8,,
366,2,9,9,9,
367,2,9,9,8,
368,2,7,8,8,
369,2,9,9,,
370,2,9,9,9,
371,2,9,9,,
372,2,9,9,,
373,2,9,9,9,
374,2,9,9,9,
375,2,9,9,9,
376,2,9,9,7,
377,2,9,9,9,
378,2,9,9,9,
379,2,9,9,,
380,2,9,8,9,
381,2,9,9,7,
382,2,8,8,7,
383,2,7,7,7,
384,2,6,7,7,
385,2,7,7,7,
386,2,7,8,7,
387,2,7,8,8,
388,2,9,9,9,
389,2,8,9,9,
390,2,,,,
391,2,8,8,8,
392,2,8,8,8,
393,2,10,10,10,
394,2,9,10,10,
395,2,9,9,1,
396,2,10,10,9,
397,2,7,8,9,
398,2,9,9,9,
399,2,9,9,9,
400,2,10,10,10,
401,2,10,10,5,
402,2,10,10,10,
403,2,10,10,10,
404,2,10,10,10,
405,2,10,10,,
406,2,9,,,
407,2,10,5,,
408,2,4,,,
409,2,10,10,10,
410,2,10,10,10,
411,2,10,10,10,
412,2,10,10,5,
413,2,9,9,9,
414,2,5,,,
415,2,7,7,7,
416,2,9,,,
417,2,10,10,10,
418,2,10,,,
419,2,10,10,10,
420,2,10,10,10,
421,2,10,10,10,
422,2,10,10,10,
423,2,10,10,10,
424,2,9,9,10,
425,2,9,9,10,
426,2,10,10,10,
427,2,10,10,10,
428,2,10,10,8,
429,2,10,10,8,
430,2,10,10,10,
431,2,10,10,10,
432,2,10,10,10,
433,2,,,,
434,2,,,,
435,2,,,,
436,2,,,,
437,2,,,,
438,2,,,,
439,2,,,,
440,2,,,,
441,2,,,,
442,2,,,,
443,2,6,8,8,
444,2,8,8,9,
445,2,8,8,9,
446,2,8,8,9,
447,2,8,8,9,
448,2,10,10,10,
449,2,8,9,9,
450,2,10,10,10,
451,2,10,10,10,
452,2,10,10,10,
453,2,8,8,,
454,2,8,7,7,
455,2,8,8,5,
456,2,5,8,7,
457,2,,,,
458,2,7,7,7,
459,2,8,8,,
460,2,8,7,7,
461,2,9,9,9,
462,2,8,8,9,
463,2,8,8,8,
464,2,6,8,8,
465,2,8,8,9,
466,2,9,9,9,
467,2,8,9,9,
468,2,8,8,9,
469,2,9,9,9,
470,2,8,9,8,
471,2,7,8,8,
472,2,8,8,8,
473,2,9,9,9,
474,2,8,8,8,
475,2,9,9,9,
476,2,9,9,9,
477,2,9,8,8,
478,2,9,9,8,
479,2,8,9,9,
480,2,9,6,8,
481,2,9,9,9,
482,2,8,9,9,
483,2,9,9,9,
484,2,8,9,9,
485,2,8,8,9,
486,2,8,8,8,
487,2,8,8,8,
488,2,8,8,8,
489,2,7,,,
490,2,8,,,
491,2,8,8,,
492,2,8,8,8,
493,2,8,8,8,
494,2,9,8,8,
495,2,9,9,9,
496,2,8,9,9,
497,2,9,10,10,
498,2,9,8,8,
499,2,8,8,8,
500,2,8,9,9,
501,2,9,9,9,
502,2,8,8,8,
503,2,9,9,,
504,2,8,8,8,
505,2,9,10,10,
506,2,10,9,7,
507,2,8,7,,
508,2,8,8,7,
509,2,5,,,
510,2,8,8,7,
511,2,8,8,8,
512,2,7,8,8,
513,2,8,9,9,
514,2,8,9,9,
515,2,9,9,9,
516,2,9,,,
517,2,8,,,
518,2,8,,,
519,2,8,7,7,
520,2,8,8,8,
521,2,9,9,9,
522,2,9,9,9,
523,2,8,8,8,
524,2,9,9,9,
525,2,9,8,8,
526,2,8,9,9,
527,2,8,8,,
528,2,8,8,8,
529,2,8,8,8,
530,2,8,8,8,
531,2,7,7,7,
532,2,7,7,7,
533,2,8,8,8,
534,2,9,9,9,
535,2,9,9,8,
536,2,9,8,8,
537,2,9,9,9,
538,2,9,9,8,
539,2,9,8,9,
540,2,10,9,9,
541,2,9,9,9,
542,2,8,8,8,
543,2,9,9,,
544,2,9,9,8,
545,2,6,10,9,
546,2,9,9,9,
547,2,9,8,8,
548,2,8,,,
549,2,9,9,8,
550,2,9,,,
551,2,9,8,8,
552,2,9,9,9,
553,2,8,9,9,
554,2,9,8,9,
555,2,9,9,,
556,2,9,9,9,
557,2,9,9,9,
558,2,9,8,9,
559,2,9,9,9,
560,2,9,9,9,
561,2,9,9,9,
562,2,8,8,8,
563,2,6,6,6,
564,2,8,8,8,
565,2,8,,,
566,2,10,10,10,
567,2,7,7,,
568,2,6,7,7,
569,2,6,6,,
570,2,7,6,,
571,2,8,8,,
572,2,1,3,,
573,2,7,7,,
574,2,7,7,8,
575,2,7,7,7,
576,2,8,8,7,
577,2,7,8,8,
578,2,9,9,9,
579,2,9,9,8,
580,2,8,8,,
581,2,8,8,8,
582,2,9,9,,
583,2,9,9,8,
584,2,9,9,9,
585,2,8,8,8,
586,2,8,8,8,
587,2,9,9,9,
588,2,8,8,8,
589,2,8,8,8,
590,2,7,7,,
591,2,8,8,7,
592,2,9,9,9,
593,2,9,9,9,
594,2,9,9,9,
595,2,9,9,8,
596,2,9,9,,
597,2,9,9,9,
598,2,9,9,9,
599,2,9,9,9,
600,2,8,8,8,
601,2,2,2,8,
602,2,8,8,8,
603,2,5,6,7,
604,2,4,,,
605,2,6,6,,
606,2,7,6,6,
607,2,6,7,8,
608,2,7,8,8,
609,2,7,10,10,
610,2,10,10,10,
611,2,9,9,9,
612,2,8,8,,
613,2,8,8,8,
614,2,6,10,10,
615,2,10,10,10,
616,2,10,10,10,
617,2,10,10,10,
618,2,9,9,10,
619,2,9,9,9,
620,2,9,7,7,
621,2,10,10,9,
622,2,10,10,9,
623,2,10,10,10,
624,2,10,10,9,
625,2,10,10,10,
626,2,6,9,10,
627,2,10,10,,
628,2,10,10,,
629,2,6,9,9,
630,2,6,10,10,
631,2,6,9,9,
632,2,6,9,8,
633,2,8,9,,
634,2,8,,,
635,2,8,9,,
636,2,9,9,8,
637,2,9,8,,
638,2,8,8,8,
639,2,8,8,,
640,2,10,10,10,
641,2,5,8,,
642,2,9,9,9,
643,2,9,9,9,
644,2,10,10,10,
645,2,10,10,10,
646,2,10,10,9,
647,2,10,10,10,
648,2,10,10,10,
649,2,10,10,8,
650,2,10,10,10,
651,2,10,10,10,
652,2,10,10,8,
653,2,9,9,9,
654,2,,,,
655,2,,,,
656,2,,,,
657,2,,,,
658,2,,,,
659,2,,,,
660,2,,,,
661,2,,,,
662,2,,,,
663,2,10,10,10,
664,2,7,7,7,
665,2,6,6,7,
666,2,2,7,7,
667,2,8,8,,
668,2,6,6,7,
669,2,7,7,6,
