ExpUnit,Trt,Variety,BRAND,MG,HERB_Trait,SEED_TREATMENT,Herbicide,Rep,Entry,Run ,Subsample,Rating,Illevo_Inj
1271,172,7253,NuTech,2.5,GT,SmartCote Supreme,metr,3,1271,2,1,,
1178,79,GH2537X Brand,Golden Harvest,2.5,RR2X,"Clariva Complete, Mertect",metr,3,1178,2,1,,
1168,69,HS 22X80,FS HiSOY,2.2,RR2X,"Acceleron, Cue, IleVO",metr,3,1168,2,1,,
1172,73,HS 27X80,FS HiSOY,2.7,RR2X,"Acceleron, Cue, IleVO",metr,3,1172,2,1,,
1208,109,LS 1380HP,Legend Seeds,1.3,CN,CruiserMaxx,metr,3,1208,2,1,,
1213,114,LS 16X932N,Legend Seeds,1.6,RR2X,"YP Pro, Preside, Quickroots",metr,3,1213,2,1,,
1290,192,RS153NR2,Renk,1.5,RR2Y,CruiserMaxx,metr,3,1290,2,1,,
160,166,S29-K3X Brand,NK ,2.9,RR2X,"Clariva Complete, Mertect",ctrl,1,160,1,3,,
91,97,LS-1138N RR2X,Legacy Seeds,1.1,RR2X,"L-Coat Total, Excalibre",ctrl,1,91,2,1,1,
334,119,LS 2180HP,Legend Seeds,2.1,CN,None,ctrl,2,334,2,1,1,
572,136,LGS1635RX,LG Seeds,1.6,RR2X,"AgriSheild F/I, ILeVO",ctrl,3,572,2,1,1,
764,107,LS 11R760N,Legend Seeds,1.1,RR2Y,"YP Pro, Preside, Quickroots",metr,1,764,1,1,1,no
1013,135,C1428R2,LG Seeds,1.4,RR2Y,"AgriSheild F/I, ILeVO",metr,2,1013,1,1,1,no
931,53,SX18716XT,Dyna-Gro,1.6,RR2X,"Equity VIP, Clariva",metr,2,931,1,1,1,no
1185,86,1142R2X,Jung,1.4,RR2X,Acceleron F/I,metr,3,1185,1,1,1,no
740,83,1071R2X,Jung,0.7,RR2X,Acceleron F/I,metr,1,740,2,1,1,
750,93,1243R2X,Jung,2.4,RR2X,Acceleron F/I,metr,1,750,2,1,1,
840,183,1863CR2Y,ProHarvest ,1.8,RR2Y,"CruiserMaxx, Vibrance",metr,1,840,2,1,1,
671,13,AG05X9,Asgrow,0.5,RR2X,Acceleron F/I,metr,1,671,2,1,1,
675,17,AG18X9,Asgrow,1.8,RR2X,Acceleron F/I,metr,1,675,2,1,1,
681,24,BG7110R2Y,BioGene,1.1,RR2Y,Arma,metr,1,681,2,1,1,
704,47,DSR-2110/R2Y,Dairyland,2.1,RR2Y,"CruiserMaxx, Optimize",metr,1,704,2,1,1,
735,78,GH2230X Brand,Golden Harvest,2.2,RR2X,"Clariva Complete, Mertect",metr,1,735,2,1,1,
725,68,HS 21X70,FS HiSOY,2.1,RR2X,"Acceleron, Cue, IleVO",metr,1,725,2,1,1,
770,207,LS 1527LLN,Legend Seeds,1.5,LL,"YP Pro, Preside, Quickroots",metr,1,770,2,1,1,
773,116,LS 18X860N,Legend Seeds,1.8,RR2X,"YP Pro, Preside, Quickroots",metr,1,773,2,1,1,
776,119,LS 2180HP,Legend Seeds,2.1,CN,None,metr,1,776,2,1,1,
850,194,RS188NX,Renk,1.8,RR2X,CruiserMaxx,metr,1,850,2,1,1,
814,157,S10-H7X Brand ,NK ,1,RR2X,"Clariva Complete, Mertect",metr,1,814,2,1,1,
716,59,S24RY87,Dyna-Gro,2.4,RR2Y,"Equity VIP, Clariva",metr,1,716,2,1,1,
821,164,S25-B6X Brand ,NK ,2.5,RR2X,"Clariva Complete, Mertect",metr,1,821,2,1,1,
862,206,SB86,SB&B,1.8,CN,None,metr,1,862,2,1,1,
882,227,SVX 18T09,PROSeeds,1.5,CN,CruiserMaxx,metr,1,882,2,1,1,
965,87,1154R2X,Jung,1.5,RR2X,Acceleron F/I,metr,2,965,2,1,1,
966,88,1173R2X,Jung,1.7,RR2X,Acceleron F/I,metr,2,966,2,1,1,
1090,214,2808GT,Tracy,2.8,GT,"Intego Suite, N Force",metr,2,1090,2,1,1,
904,26,BG7151R2Y,BioGene,1.5,RR2Y,Arma,metr,2,904,2,1,1,
1012,134,C1414RX,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",metr,2,1012,2,1,1,
1013,135,C1428R2,LG Seeds,1.4,RR2Y,"AgriSheild F/I, ILeVO",metr,2,1013,2,1,1,
922,44,DSR-1721/R2Y,Dairyland,1.7,RR2Y,"CruiserMaxx, Optimize",metr,2,922,2,1,1,
940,62,F106N RR2Y,Federal Hybrids,1,RR2Y,Maximum ArmourGuard,metr,2,940,2,1,1,
947,69,HS 22X80,FS HiSOY,2.2,RR2X,"Acceleron, Cue, IleVO",metr,2,947,2,1,1,
1014,136,LGS1635RX,LG Seeds,1.6,RR2X,"AgriSheild F/I, ILeVO",metr,2,1014,2,1,1,
1006,128,LS 28C726N,Legend Seeds,2.8,CN,"YP Pro, Preside, Quickroots",metr,2,1006,2,1,1,
990,112,LS14C953N,Legend Seeds,1.4,CN,"YP Pro, Preside, Quickroots",metr,2,990,2,1,1,
977,99,LS-1639N RR2X,Legacy Seeds,1.6,RR2X,"L-Coat Total, Excalibre",metr,2,977,2,1,1,
1093,217,O.1202N,Viking,1.2,CN,None,metr,2,1093,2,1,1,
1040,162,S20-T6 Brand,NK ,2,RR2Y,"Clariva Complete, Mertect",metr,2,1040,2,1,1,
1081,204,SB1270,SB&B,1.2,CN,None,metr,2,1081,2,1,1,
1105,229,SVX 18T12,PROSeeds,1.6,CN,CruiserMaxx,metr,2,1105,2,1,1,
1188,89,1182R2X,Jung,1.8,RR2X,Acceleron F/I,metr,3,1188,2,1,1,
1124,25,BG7141R2Y,BioGene,1.4,RR2Y,Arma,metr,3,1124,2,1,1,
1140,41,DSR-1313/R2Y,Dairyland,1.3,RR2Y,"CruiserMaxx, Optimize",metr,3,1140,2,1,1,
1164,65,F1690N R2X,Federal Hybrids,1.6,RR2X,Maximum ArmourGuard,metr,3,1164,2,1,1,
1169,70,HS 23X70,FS HiSOY,2.3,RR2X,"Acceleron, Cue, IleVO",metr,3,1169,2,1,1,
1198,99,LS-1639N RR2X,Legacy Seeds,1.6,RR2X,"L-Coat Total, Excalibre",metr,3,1198,2,1,1,
1297,199,RS248NX,Renk,2.4,RR2X,CruiserMaxx,metr,3,1297,2,1,1,
1254,155,S07-Q4X Brand,NK ,0.7,RR2X,"Clariva Complete, Mertect",metr,3,1254,2,1,1,
1323,226,SVX 18T08,PROSeeds,0.8,CN,CruiserMaxx,metr,3,1323,2,1,1,
